25: Ground truth-dog, Test result A-deer, Test result B-deer
5526: Ground truth-cat, Test result A-horse, Test result B-deer
5530: Ground truth-cat, Test result A-ship, Test result B-ship
5535: Ground truth-frog, Test result A-dog, Test result B-deer
5538: Ground truth-bird, Test result A-dog, Test result B-dog
5549: Ground truth-ship, Test result A-airplane, Test result B-airplane
5556: Ground truth-deer, Test result A-dog, Test result B-dog
5560: Ground truth-cat, Test result A-bird, Test result B-bird
5561: Ground truth-cat, Test result A-dog, Test result B-dog
5581: Ground truth-dog, Test result A-cat, Test result B-cat
5582: Ground truth-frog, Test result A-cat, Test result B-dog
5583: Ground truth-deer, Test result A-cat, Test result B-cat
5598: Ground truth-cat, Test result A-ship, Test result B-ship
5610: Ground truth-dog, Test result A-airplane, Test result B-horse
5612: Ground truth-dog, Test result A-bird, Test result B-bird
5621: Ground truth-cat, Test result A-bird, Test result B-dog
5622: Ground truth-ship, Test result A-truck, Test result B-truck
5629: Ground truth-ship, Test result A-truck, Test result B-automobile
5631: Ground truth-cat, Test result A-deer, Test result B-deer
5635: Ground truth-deer, Test result A-bird, Test result B-dog
5641: Ground truth-bird, Test result A-cat, Test result B-cat
5643: Ground truth-dog, Test result A-horse, Test result B-deer
5646: Ground truth-dog, Test result A-cat, Test result B-cat
5647: Ground truth-deer, Test result A-ship, Test result B-ship
5651: Ground truth-dog, Test result A-cat, Test result B-horse
5655: Ground truth-deer, Test result A-horse, Test result B-bird
5657: Ground truth-cat, Test result A-horse, Test result B-horse
5659: Ground truth-deer, Test result A-horse, Test result B-horse
5666: Ground truth-bird, Test result A-airplane, Test result B-airplane
5671: Ground truth-deer, Test result A-frog, Test result B-dog
5678: Ground truth-horse, Test result A-dog, Test result B-deer
5688: Ground truth-bird, Test result A-airplane, Test result B-airplane
5709: Ground truth-bird, Test result A-dog, Test result B-dog
5726: Ground truth-dog, Test result A-cat, Test result B-cat
5731: Ground truth-dog, Test result A-cat, Test result B-automobile
5740: Ground truth-bird, Test result A-frog, Test result B-frog
5748: Ground truth-ship, Test result A-airplane, Test result B-airplane
5753: Ground truth-cat, Test result A-dog, Test result B-truck
5756: Ground truth-deer, Test result A-dog, Test result B-cat
5784: Ground truth-automobile, Test result A-truck, Test result B-truck
5788: Ground truth-airplane, Test result A-automobile, Test result B-automobile
5792: Ground truth-ship, Test result A-truck, Test result B-truck
5795: Ground truth-horse, Test result A-deer, Test result B-deer
5796: Ground truth-horse, Test result A-deer, Test result B-deer
5798: Ground truth-dog, Test result A-frog, Test result B-cat
5813: Ground truth-deer, Test result A-cat, Test result B-cat
5815: Ground truth-ship, Test result A-cat, Test result B-airplane
5816: Ground truth-cat, Test result A-dog, Test result B-frog
5818: Ground truth-cat, Test result A-dog, Test result B-dog
5822: Ground truth-ship, Test result A-cat, Test result B-truck
5831: Ground truth-dog, Test result A-frog, Test result B-cat
5834: Ground truth-cat, Test result A-dog, Test result B-dog
5838: Ground truth-bird, Test result A-cat, Test result B-cat
5840: Ground truth-bird, Test result A-frog, Test result B-frog
5856: Ground truth-horse, Test result A-dog, Test result B-bird
5857: Ground truth-cat, Test result A-dog, Test result B-dog
5863: Ground truth-bird, Test result A-dog, Test result B-dog
5872: Ground truth-frog, Test result A-bird, Test result B-cat
5874: Ground truth-deer, Test result A-dog, Test result B-dog
5882: Ground truth-cat, Test result A-dog, Test result B-dog
5885: Ground truth-deer, Test result A-truck, Test result B-horse
5890: Ground truth-frog, Test result A-bird, Test result B-bird
5891: Ground truth-cat, Test result A-bird, Test result B-dog
5897: Ground truth-ship, Test result A-truck, Test result B-truck
5901: Ground truth-deer, Test result A-bird, Test result B-cat
5902: Ground truth-dog, Test result A-frog, Test result B-frog
5904: Ground truth-deer, Test result A-airplane, Test result B-airplane
5909: Ground truth-cat, Test result A-horse, Test result B-horse
5911: Ground truth-bird, Test result A-cat, Test result B-cat
5916: Ground truth-dog, Test result A-cat, Test result B-cat
5918: Ground truth-cat, Test result A-bird, Test result B-deer
5922: Ground truth-horse, Test result A-dog, Test result B-bird
5924: Ground truth-airplane, Test result A-automobile, Test result B-automobile
5925: Ground truth-deer, Test result A-bird, Test result B-bird
5926: Ground truth-cat, Test result A-horse, Test result B-horse
5931: Ground truth-dog, Test result A-bird, Test result B-bird
5935: Ground truth-cat, Test result A-horse, Test result B-horse
5956: Ground truth-dog, Test result A-airplane, Test result B-bird
5960: Ground truth-deer, Test result A-truck, Test result B-ship
5961: Ground truth-bird, Test result A-frog, Test result B-frog
5973: Ground truth-ship, Test result A-airplane, Test result B-airplane
5995: Ground truth-deer, Test result A-cat, Test result B-horse
6000: Ground truth-bird, Test result A-deer, Test result B-deer
6009: Ground truth-cat, Test result A-bird, Test result B-bird
6010: Ground truth-cat, Test result A-dog, Test result B-dog
6011: Ground truth-automobile, Test result A-bird, Test result B-frog
6012: Ground truth-horse, Test result A-bird, Test result B-bird
6013: Ground truth-deer, Test result A-bird, Test result B-bird
6015: Ground truth-dog, Test result A-deer, Test result B-cat
6024: Ground truth-dog, Test result A-cat, Test result B-cat
6039: Ground truth-deer, Test result A-dog, Test result B-bird
6041: Ground truth-bird, Test result A-dog, Test result B-horse
6042: Ground truth-horse, Test result A-ship, Test result B-automobile
6051: Ground truth-bird, Test result A-deer, Test result B-deer
6063: Ground truth-cat, Test result A-deer, Test result B-deer
6064: Ground truth-frog, Test result A-deer, Test result B-cat
6066: Ground truth-dog, Test result A-bird, Test result B-bird
6069: Ground truth-dog, Test result A-bird, Test result B-cat
6071: Ground truth-ship, Test result A-truck, Test result B-truck
6076: Ground truth-cat, Test result A-frog, Test result B-frog
6078: Ground truth-airplane, Test result A-bird, Test result B-bird
6084: Ground truth-bird, Test result A-dog, Test result B-truck
6086: Ground truth-bird, Test result A-frog, Test result B-dog
6094: Ground truth-bird, Test result A-frog, Test result B-frog
6103: Ground truth-cat, Test result A-horse, Test result B-horse
6112: Ground truth-cat, Test result A-bird, Test result B-bird
6122: Ground truth-bird, Test result A-dog, Test result B-dog
6125: Ground truth-ship, Test result A-automobile, Test result B-cat
6131: Ground truth-automobile, Test result A-ship, Test result B-ship
6132: Ground truth-cat, Test result A-frog, Test result B-frog
6135: Ground truth-cat, Test result A-bird, Test result B-bird
6139: Ground truth-cat, Test result A-airplane, Test result B-airplane
6143: Ground truth-dog, Test result A-truck, Test result B-cat
6146: Ground truth-bird, Test result A-cat, Test result B-dog
6152: Ground truth-horse, Test result A-deer, Test result B-deer
6158: Ground truth-airplane, Test result A-horse, Test result B-deer
6162: Ground truth-deer, Test result A-bird, Test result B-frog
6166: Ground truth-dog, Test result A-cat, Test result B-cat
6175: Ground truth-cat, Test result A-dog, Test result B-horse
6176: Ground truth-cat, Test result A-frog, Test result B-frog
6178: Ground truth-bird, Test result A-horse, Test result B-dog
6179: Ground truth-dog, Test result A-horse, Test result B-horse
6195: Ground truth-automobile, Test result A-ship, Test result B-airplane
6201: Ground truth-cat, Test result A-ship, Test result B-ship
6205: Ground truth-deer, Test result A-horse, Test result B-horse
6214: Ground truth-cat, Test result A-frog, Test result B-frog
6219: Ground truth-truck, Test result A-ship, Test result B-frog
6221: Ground truth-bird, Test result A-dog, Test result B-dog
6229: Ground truth-deer, Test result A-horse, Test result B-horse
6236: Ground truth-frog, Test result A-cat, Test result B-cat
6238: Ground truth-cat, Test result A-dog, Test result B-horse
6243: Ground truth-deer, Test result A-airplane, Test result B-bird
6246: Ground truth-frog, Test result A-dog, Test result B-dog
6254: Ground truth-dog, Test result A-deer, Test result B-deer
6258: Ground truth-dog, Test result A-bird, Test result B-bird
6262: Ground truth-airplane, Test result A-bird, Test result B-bird
6281: Ground truth-ship, Test result A-dog, Test result B-dog
6299: Ground truth-cat, Test result A-dog, Test result B-dog
6306: Ground truth-frog, Test result A-dog, Test result B-deer
6318: Ground truth-truck, Test result A-airplane, Test result B-airplane
6323: Ground truth-deer, Test result A-horse, Test result B-horse
6327: Ground truth-horse, Test result A-deer, Test result B-truck
6330: Ground truth-automobile, Test result A-ship, Test result B-ship
6345: Ground truth-dog, Test result A-bird, Test result B-bird
6346: Ground truth-cat, Test result A-deer, Test result B-dog
6354: Ground truth-bird, Test result A-cat, Test result B-airplane
6355: Ground truth-horse, Test result A-truck, Test result B-truck
6371: Ground truth-frog, Test result A-cat, Test result B-dog
6381: Ground truth-cat, Test result A-bird, Test result B-bird
6382: Ground truth-truck, Test result A-automobile, Test result B-automobile
6383: Ground truth-deer, Test result A-dog, Test result B-dog
6384: Ground truth-cat, Test result A-dog, Test result B-bird
6385: Ground truth-horse, Test result A-frog, Test result B-frog
6388: Ground truth-bird, Test result A-deer, Test result B-deer
6394: Ground truth-cat, Test result A-bird, Test result B-bird
6399: Ground truth-frog, Test result A-dog, Test result B-deer
6402: Ground truth-deer, Test result A-bird, Test result B-bird
6406: Ground truth-automobile, Test result A-truck, Test result B-truck
6413: Ground truth-ship, Test result A-truck, Test result B-truck
6420: Ground truth-truck, Test result A-ship, Test result B-automobile
6423: Ground truth-deer, Test result A-dog, Test result B-dog
6424: Ground truth-dog, Test result A-deer, Test result B-deer
6430: Ground truth-ship, Test result A-deer, Test result B-automobile
6437: Ground truth-airplane, Test result A-ship, Test result B-ship
6438: Ground truth-airplane, Test result A-deer, Test result B-deer
6440: Ground truth-cat, Test result A-deer, Test result B-deer
6442: Ground truth-dog, Test result A-cat, Test result B-cat
6447: Ground truth-deer, Test result A-bird, Test result B-dog
6467: Ground truth-ship, Test result A-dog, Test result B-dog
6482: Ground truth-airplane, Test result A-bird, Test result B-frog
6492: Ground truth-airplane, Test result A-dog, Test result B-dog
6497: Ground truth-horse, Test result A-dog, Test result B-cat
6498: Ground truth-deer, Test result A-bird, Test result B-bird
6501: Ground truth-horse, Test result A-deer, Test result B-deer
6508: Ground truth-deer, Test result A-dog, Test result B-cat
6511: Ground truth-deer, Test result A-dog, Test result B-dog
6523: Ground truth-truck, Test result A-automobile, Test result B-automobile
6534: Ground truth-bird, Test result A-automobile, Test result B-cat
6544: Ground truth-frog, Test result A-cat, Test result B-cat
6546: Ground truth-truck, Test result A-ship, Test result B-airplane
6550: Ground truth-airplane, Test result A-ship, Test result B-ship
6565: Ground truth-dog, Test result A-cat, Test result B-cat
6574: Ground truth-horse, Test result A-dog, Test result B-dog
6582: Ground truth-automobile, Test result A-truck, Test result B-truck
6589: Ground truth-airplane, Test result A-ship, Test result B-ship
6591: Ground truth-dog, Test result A-horse, Test result B-horse
6599: Ground truth-frog, Test result A-bird, Test result B-truck
6600: Ground truth-bird, Test result A-frog, Test result B-frog
6607: Ground truth-deer, Test result A-cat, Test result B-cat
6636: Ground truth-frog, Test result A-cat, Test result B-cat
6641: Ground truth-dog, Test result A-cat, Test result B-cat
6642: Ground truth-airplane, Test result A-ship, Test result B-truck
6654: Ground truth-airplane, Test result A-bird, Test result B-bird
6657: Ground truth-frog, Test result A-cat, Test result B-horse
6670: Ground truth-dog, Test result A-bird, Test result B-bird
6674: Ground truth-deer, Test result A-bird, Test result B-bird
6679: Ground truth-horse, Test result A-dog, Test result B-dog
6680: Ground truth-bird, Test result A-horse, Test result B-deer
6682: Ground truth-truck, Test result A-bird, Test result B-ship
6689: Ground truth-automobile, Test result A-bird, Test result B-bird
6695: Ground truth-cat, Test result A-horse, Test result B-horse
6704: Ground truth-bird, Test result A-frog, Test result B-frog
6705: Ground truth-automobile, Test result A-truck, Test result B-truck
6706: Ground truth-cat, Test result A-deer, Test result B-deer
6724: Ground truth-dog, Test result A-horse, Test result B-horse
6730: Ground truth-airplane, Test result A-frog, Test result B-cat
6733: Ground truth-cat, Test result A-deer, Test result B-horse
6738: Ground truth-ship, Test result A-horse, Test result B-truck
6742: Ground truth-truck, Test result A-airplane, Test result B-airplane
6747: Ground truth-bird, Test result A-dog, Test result B-dog
6749: Ground truth-airplane, Test result A-bird, Test result B-bird
6751: Ground truth-deer, Test result A-cat, Test result B-cat
6754: Ground truth-deer, Test result A-frog, Test result B-frog
6760: Ground truth-automobile, Test result A-truck, Test result B-truck
6762: Ground truth-dog, Test result A-horse, Test result B-horse
6763: Ground truth-horse, Test result A-bird, Test result B-dog
6764: Ground truth-bird, Test result A-cat, Test result B-cat
6773: Ground truth-airplane, Test result A-truck, Test result B-truck
6775: Ground truth-cat, Test result A-horse, Test result B-dog
6779: Ground truth-bird, Test result A-frog, Test result B-frog
6782: Ground truth-cat, Test result A-frog, Test result B-frog
6784: Ground truth-cat, Test result A-frog, Test result B-frog
6793: Ground truth-cat, Test result A-horse, Test result B-dog
6801: Ground truth-frog, Test result A-bird, Test result B-bird
6815: Ground truth-truck, Test result A-automobile, Test result B-automobile
6823: Ground truth-deer, Test result A-bird, Test result B-bird
6840: Ground truth-ship, Test result A-frog, Test result B-automobile
6846: Ground truth-bird, Test result A-truck, Test result B-automobile
6854: Ground truth-deer, Test result A-horse, Test result B-horse
6860: Ground truth-cat, Test result A-automobile, Test result B-bird
6863: Ground truth-dog, Test result A-cat, Test result B-cat
6870: Ground truth-dog, Test result A-truck, Test result B-cat
6873: Ground truth-airplane, Test result A-frog, Test result B-frog
6874: Ground truth-cat, Test result A-deer, Test result B-deer
6877: Ground truth-horse, Test result A-deer, Test result B-deer
6882: Ground truth-bird, Test result A-deer, Test result B-airplane
6884: Ground truth-horse, Test result A-deer, Test result B-deer
6888: Ground truth-deer, Test result A-cat, Test result B-cat
6898: Ground truth-truck, Test result A-ship, Test result B-automobile
6900: Ground truth-bird, Test result A-dog, Test result B-deer
6902: Ground truth-bird, Test result A-horse, Test result B-truck
6905: Ground truth-dog, Test result A-bird, Test result B-horse
6913: Ground truth-cat, Test result A-truck, Test result B-truck
6921: Ground truth-dog, Test result A-bird, Test result B-bird
6923: Ground truth-bird, Test result A-frog, Test result B-frog
6925: Ground truth-dog, Test result A-cat, Test result B-cat
6931: Ground truth-bird, Test result A-airplane, Test result B-airplane
6932: Ground truth-dog, Test result A-deer, Test result B-cat
6934: Ground truth-airplane, Test result A-deer, Test result B-deer
6943: Ground truth-cat, Test result A-bird, Test result B-bird
6953: Ground truth-ship, Test result A-airplane, Test result B-airplane
6959: Ground truth-horse, Test result A-cat, Test result B-cat
6966: Ground truth-frog, Test result A-cat, Test result B-cat
6970: Ground truth-bird, Test result A-cat, Test result B-cat
6974: Ground truth-cat, Test result A-dog, Test result B-dog
6976: Ground truth-ship, Test result A-automobile, Test result B-automobile
6977: Ground truth-cat, Test result A-frog, Test result B-bird
6980: Ground truth-dog, Test result A-deer, Test result B-deer
6983: Ground truth-automobile, Test result A-truck, Test result B-truck
6986: Ground truth-airplane, Test result A-ship, Test result B-ship
6993: Ground truth-deer, Test result A-dog, Test result B-bird
6994: Ground truth-dog, Test result A-cat, Test result B-cat
6995: Ground truth-cat, Test result A-deer, Test result B-deer
6998: Ground truth-ship, Test result A-dog, Test result B-horse
7001: Ground truth-bird, Test result A-ship, Test result B-ship
7003: Ground truth-cat, Test result A-deer, Test result B-frog
7004: Ground truth-horse, Test result A-cat, Test result B-cat
7005: Ground truth-cat, Test result A-airplane, Test result B-airplane
7006: Ground truth-automobile, Test result A-ship, Test result B-ship
7010: Ground truth-frog, Test result A-cat, Test result B-cat
7018: Ground truth-automobile, Test result A-airplane, Test result B-truck
7022: Ground truth-automobile, Test result A-truck, Test result B-truck
7031: Ground truth-ship, Test result A-deer, Test result B-dog
7036: Ground truth-automobile, Test result A-truck, Test result B-truck
7037: Ground truth-cat, Test result A-horse, Test result B-horse
7038: Ground truth-horse, Test result A-dog, Test result B-dog
7041: Ground truth-horse, Test result A-airplane, Test result B-bird
7042: Ground truth-deer, Test result A-airplane, Test result B-airplane
7055: Ground truth-bird, Test result A-airplane, Test result B-airplane
7060: Ground truth-deer, Test result A-frog, Test result B-frog
7063: Ground truth-deer, Test result A-frog, Test result B-bird
7069: Ground truth-bird, Test result A-airplane, Test result B-airplane
7081: Ground truth-dog, Test result A-horse, Test result B-cat
7082: Ground truth-deer, Test result A-dog, Test result B-cat
7084: Ground truth-frog, Test result A-cat, Test result B-cat
7091: Ground truth-bird, Test result A-dog, Test result B-dog
7098: Ground truth-horse, Test result A-cat, Test result B-cat
7100: Ground truth-cat, Test result A-dog, Test result B-dog
7101: Ground truth-truck, Test result A-cat, Test result B-bird
7105: Ground truth-bird, Test result A-dog, Test result B-automobile
7108: Ground truth-bird, Test result A-deer, Test result B-deer
7113: Ground truth-bird, Test result A-airplane, Test result B-airplane
7120: Ground truth-dog, Test result A-horse, Test result B-horse
7125: Ground truth-dog, Test result A-bird, Test result B-bird
7129: Ground truth-horse, Test result A-dog, Test result B-cat
7141: Ground truth-deer, Test result A-automobile, Test result B-automobile
7144: Ground truth-deer, Test result A-bird, Test result B-bird
7150: Ground truth-dog, Test result A-cat, Test result B-cat
7162: Ground truth-dog, Test result A-horse, Test result B-deer
7163: Ground truth-dog, Test result A-horse, Test result B-cat
7169: Ground truth-dog, Test result A-cat, Test result B-cat
7174: Ground truth-automobile, Test result A-frog, Test result B-frog
7175: Ground truth-cat, Test result A-frog, Test result B-frog
7178: Ground truth-bird, Test result A-airplane, Test result B-airplane
7182: Ground truth-frog, Test result A-deer, Test result B-deer
7184: Ground truth-frog, Test result A-bird, Test result B-bird
7187: Ground truth-bird, Test result A-horse, Test result B-horse
7201: Ground truth-deer, Test result A-bird, Test result B-frog
7204: Ground truth-dog, Test result A-horse, Test result B-horse
7211: Ground truth-cat, Test result A-bird, Test result B-bird
7214: Ground truth-frog, Test result A-bird, Test result B-bird
7215: Ground truth-cat, Test result A-dog, Test result B-dog
7218: Ground truth-ship, Test result A-deer, Test result B-deer
7219: Ground truth-truck, Test result A-airplane, Test result B-airplane
7224: Ground truth-horse, Test result A-deer, Test result B-deer
7225: Ground truth-cat, Test result A-dog, Test result B-horse
7243: Ground truth-horse, Test result A-dog, Test result B-cat
7247: Ground truth-airplane, Test result A-bird, Test result B-bird
7267: Ground truth-bird, Test result A-dog, Test result B-dog
7268: Ground truth-dog, Test result A-deer, Test result B-cat
7275: Ground truth-automobile, Test result A-truck, Test result B-truck
7281: Ground truth-automobile, Test result A-truck, Test result B-truck
7284: Ground truth-cat, Test result A-horse, Test result B-deer
7311: Ground truth-cat, Test result A-dog, Test result B-dog
7312: Ground truth-automobile, Test result A-truck, Test result B-truck
7319: Ground truth-deer, Test result A-frog, Test result B-bird
7352: Ground truth-bird, Test result A-automobile, Test result B-automobile
7361: Ground truth-bird, Test result A-horse, Test result B-horse
7368: Ground truth-cat, Test result A-dog, Test result B-dog
7371: Ground truth-cat, Test result A-ship, Test result B-ship
7376: Ground truth-bird, Test result A-horse, Test result B-horse
7379: Ground truth-cat, Test result A-dog, Test result B-dog
7385: Ground truth-cat, Test result A-dog, Test result B-dog
7387: Ground truth-dog, Test result A-cat, Test result B-cat
7394: Ground truth-dog, Test result A-deer, Test result B-horse
7399: Ground truth-dog, Test result A-cat, Test result B-cat
7407: Ground truth-horse, Test result A-bird, Test result B-ship
7409: Ground truth-deer, Test result A-dog, Test result B-dog
7412: Ground truth-dog, Test result A-deer, Test result B-cat
7415: Ground truth-ship, Test result A-airplane, Test result B-airplane
7418: Ground truth-cat, Test result A-frog, Test result B-frog
7421: Ground truth-cat, Test result A-bird, Test result B-bird
7438: Ground truth-cat, Test result A-horse, Test result B-horse
7440: Ground truth-dog, Test result A-cat, Test result B-deer
7443: Ground truth-horse, Test result A-frog, Test result B-dog
7444: Ground truth-horse, Test result A-frog, Test result B-cat
7447: Ground truth-dog, Test result A-horse, Test result B-horse
7450: Ground truth-airplane, Test result A-frog, Test result B-cat
7452: Ground truth-truck, Test result A-automobile, Test result B-automobile
7454: Ground truth-airplane, Test result A-horse, Test result B-horse
7456: Ground truth-automobile, Test result A-truck, Test result B-truck
7459: Ground truth-bird, Test result A-dog, Test result B-dog
7472: Ground truth-frog, Test result A-dog, Test result B-bird
7473: Ground truth-automobile, Test result A-airplane, Test result B-airplane
7479: Ground truth-horse, Test result A-dog, Test result B-dog
7490: Ground truth-cat, Test result A-dog, Test result B-dog
7497: Ground truth-cat, Test result A-bird, Test result B-bird
7500: Ground truth-truck, Test result A-automobile, Test result B-automobile
7505: Ground truth-frog, Test result A-cat, Test result B-cat
7510: Ground truth-cat, Test result A-horse, Test result B-dog
7519: Ground truth-cat, Test result A-deer, Test result B-deer
7520: Ground truth-bird, Test result A-ship, Test result B-ship
7525: Ground truth-cat, Test result A-deer, Test result B-deer
7537: Ground truth-ship, Test result A-automobile, Test result B-frog
7543: Ground truth-ship, Test result A-automobile, Test result B-airplane
7546: Ground truth-dog, Test result A-horse, Test result B-bird
7550: Ground truth-cat, Test result A-dog, Test result B-dog
7553: Ground truth-deer, Test result A-horse, Test result B-horse
7555: Ground truth-horse, Test result A-dog, Test result B-dog
7557: Ground truth-bird, Test result A-airplane, Test result B-cat
7558: Ground truth-dog, Test result A-bird, Test result B-horse
7560: Ground truth-ship, Test result A-automobile, Test result B-automobile
7569: Ground truth-horse, Test result A-dog, Test result B-dog
7574: Ground truth-automobile, Test result A-truck, Test result B-airplane
7580: Ground truth-cat, Test result A-dog, Test result B-dog
7583: Ground truth-dog, Test result A-cat, Test result B-cat
7589: Ground truth-bird, Test result A-cat, Test result B-dog
7591: Ground truth-bird, Test result A-deer, Test result B-deer
7599: Ground truth-cat, Test result A-dog, Test result B-dog
7601: Ground truth-ship, Test result A-truck, Test result B-truck
7603: Ground truth-bird, Test result A-frog, Test result B-frog
7606: Ground truth-bird, Test result A-frog, Test result B-frog
7610: Ground truth-airplane, Test result A-dog, Test result B-dog
7612: Ground truth-horse, Test result A-deer, Test result B-bird
7620: Ground truth-dog, Test result A-cat, Test result B-cat
7621: Ground truth-dog, Test result A-truck, Test result B-truck
7629: Ground truth-deer, Test result A-cat, Test result B-cat
7633: Ground truth-airplane, Test result A-horse, Test result B-horse
7642: Ground truth-horse, Test result A-frog, Test result B-frog
7645: Ground truth-cat, Test result A-dog, Test result B-dog
7658: Ground truth-bird, Test result A-dog, Test result B-horse
7661: Ground truth-horse, Test result A-deer, Test result B-deer
7667: Ground truth-bird, Test result A-deer, Test result B-deer
7670: Ground truth-horse, Test result A-deer, Test result B-deer
7675: Ground truth-automobile, Test result A-truck, Test result B-truck
7685: Ground truth-airplane, Test result A-bird, Test result B-bird
7686: Ground truth-truck, Test result A-automobile, Test result B-automobile
7712: Ground truth-frog, Test result A-deer, Test result B-deer
7723: Ground truth-horse, Test result A-bird, Test result B-deer
7724: Ground truth-cat, Test result A-frog, Test result B-deer
7736: Ground truth-deer, Test result A-cat, Test result B-airplane
7745: Ground truth-deer, Test result A-cat, Test result B-cat
7747: Ground truth-bird, Test result A-airplane, Test result B-airplane
7751: Ground truth-cat, Test result A-bird, Test result B-bird
7762: Ground truth-bird, Test result A-cat, Test result B-dog
7767: Ground truth-deer, Test result A-frog, Test result B-frog
7770: Ground truth-deer, Test result A-horse, Test result B-horse
7779: Ground truth-airplane, Test result A-cat, Test result B-frog
7781: Ground truth-cat, Test result A-ship, Test result B-ship
7784: Ground truth-cat, Test result A-dog, Test result B-dog
7785: Ground truth-horse, Test result A-cat, Test result B-deer
7786: Ground truth-deer, Test result A-frog, Test result B-frog
7795: Ground truth-dog, Test result A-frog, Test result B-frog
7796: Ground truth-dog, Test result A-deer, Test result B-cat
7798: Ground truth-cat, Test result A-frog, Test result B-frog
7816: Ground truth-airplane, Test result A-ship, Test result B-automobile
7817: Ground truth-airplane, Test result A-deer, Test result B-deer
7822: Ground truth-bird, Test result A-airplane, Test result B-airplane
7823: Ground truth-bird, Test result A-deer, Test result B-deer
7828: Ground truth-cat, Test result A-dog, Test result B-dog
7830: Ground truth-bird, Test result A-airplane, Test result B-airplane
7831: Ground truth-bird, Test result A-automobile, Test result B-horse
7840: Ground truth-cat, Test result A-deer, Test result B-deer
7842: Ground truth-frog, Test result A-cat, Test result B-cat
7850: Ground truth-bird, Test result A-airplane, Test result B-airplane
7853: Ground truth-dog, Test result A-deer, Test result B-deer
7862: Ground truth-airplane, Test result A-bird, Test result B-bird
7876: Ground truth-bird, Test result A-cat, Test result B-cat
7882: Ground truth-cat, Test result A-deer, Test result B-deer
7885: Ground truth-truck, Test result A-automobile, Test result B-automobile
7893: Ground truth-automobile, Test result A-truck, Test result B-truck
7894: Ground truth-automobile, Test result A-ship, Test result B-ship
7907: Ground truth-bird, Test result A-deer, Test result B-deer
7910: Ground truth-automobile, Test result A-ship, Test result B-ship
7911: Ground truth-cat, Test result A-dog, Test result B-dog
7913: Ground truth-airplane, Test result A-bird, Test result B-horse
7917: Ground truth-deer, Test result A-airplane, Test result B-bird
7919: Ground truth-deer, Test result A-bird, Test result B-bird
7924: Ground truth-truck, Test result A-horse, Test result B-horse
7931: Ground truth-bird, Test result A-airplane, Test result B-airplane
7932: Ground truth-truck, Test result A-frog, Test result B-deer
7941: Ground truth-bird, Test result A-frog, Test result B-frog
7942: Ground truth-dog, Test result A-bird, Test result B-bird
7948: Ground truth-bird, Test result A-frog, Test result B-frog
7957: Ground truth-deer, Test result A-cat, Test result B-cat
7959: Ground truth-dog, Test result A-cat, Test result B-cat
7960: Ground truth-dog, Test result A-bird, Test result B-airplane
7963: Ground truth-cat, Test result A-dog, Test result B-dog
7968: Ground truth-truck, Test result A-dog, Test result B-automobile
7973: Ground truth-dog, Test result A-frog, Test result B-cat
7980: Ground truth-cat, Test result A-dog, Test result B-horse
7984: Ground truth-frog, Test result A-ship, Test result B-ship
7990: Ground truth-horse, Test result A-dog, Test result B-cat
7994: Ground truth-bird, Test result A-airplane, Test result B-airplane
8004: Ground truth-deer, Test result A-cat, Test result B-bird
8007: Ground truth-truck, Test result A-cat, Test result B-horse
8010: Ground truth-dog, Test result A-frog, Test result B-cat
8016: Ground truth-ship, Test result A-airplane, Test result B-airplane
8021: Ground truth-frog, Test result A-cat, Test result B-cat
8042: Ground truth-ship, Test result A-deer, Test result B-deer
8047: Ground truth-ship, Test result A-cat, Test result B-cat
8048: Ground truth-airplane, Test result A-bird, Test result B-bird
8051: Ground truth-horse, Test result A-cat, Test result B-bird
8063: Ground truth-bird, Test result A-frog, Test result B-frog
8067: Ground truth-truck, Test result A-airplane, Test result B-airplane
8070: Ground truth-deer, Test result A-bird, Test result B-bird
8087: Ground truth-deer, Test result A-airplane, Test result B-ship
8088: Ground truth-bird, Test result A-horse, Test result B-dog
8099: Ground truth-automobile, Test result A-truck, Test result B-truck
8103: Ground truth-cat, Test result A-horse, Test result B-deer
8111: Ground truth-dog, Test result A-frog, Test result B-cat
8116: Ground truth-dog, Test result A-cat, Test result B-cat
8120: Ground truth-frog, Test result A-dog, Test result B-cat
8123: Ground truth-deer, Test result A-cat, Test result B-dog
8129: Ground truth-horse, Test result A-cat, Test result B-deer
8137: Ground truth-cat, Test result A-bird, Test result B-bird
8139: Ground truth-automobile, Test result A-truck, Test result B-truck
8167: Ground truth-bird, Test result A-dog, Test result B-dog
8174: Ground truth-dog, Test result A-cat, Test result B-cat
8177: Ground truth-frog, Test result A-deer, Test result B-cat
8178: Ground truth-ship, Test result A-truck, Test result B-truck
8183: Ground truth-ship, Test result A-bird, Test result B-cat
8184: Ground truth-cat, Test result A-dog, Test result B-dog
8190: Ground truth-ship, Test result A-airplane, Test result B-automobile
8197: Ground truth-cat, Test result A-airplane, Test result B-airplane
8203: Ground truth-dog, Test result A-deer, Test result B-deer
8205: Ground truth-cat, Test result A-frog, Test result B-frog
8210: Ground truth-bird, Test result A-deer, Test result B-deer
8213: Ground truth-dog, Test result A-frog, Test result B-frog
8223: Ground truth-automobile, Test result A-ship, Test result B-ship
8226: Ground truth-truck, Test result A-airplane, Test result B-bird
8230: Ground truth-ship, Test result A-bird, Test result B-bird
8234: Ground truth-deer, Test result A-frog, Test result B-frog
