7: Ground truth-automobile, Test result-airplane
5826: Ground truth-cat, Test result-frog
5827: Ground truth-horse, Test result-bird
5831: Ground truth-dog, Test result-frog
5832: Ground truth-frog, Test result-horse
5833: Ground truth-truck, Test result-ship
5834: Ground truth-cat, Test result-dog
5836: Ground truth-cat, Test result-bird
5838: Ground truth-bird, Test result-cat
5840: Ground truth-bird, Test result-frog
5841: Ground truth-bird, Test result-automobile
5855: Ground truth-deer, Test result-truck
5856: Ground truth-horse, Test result-dog
5857: Ground truth-cat, Test result-dog
5863: Ground truth-bird, Test result-dog
5872: Ground truth-frog, Test result-bird
5874: Ground truth-deer, Test result-dog
5879: Ground truth-deer, Test result-bird
5882: Ground truth-cat, Test result-dog
5885: Ground truth-deer, Test result-truck
5890: Ground truth-frog, Test result-bird
5891: Ground truth-cat, Test result-bird
5897: Ground truth-ship, Test result-truck
5901: Ground truth-deer, Test result-bird
5902: Ground truth-dog, Test result-frog
5904: Ground truth-deer, Test result-airplane
5906: Ground truth-automobile, Test result-truck
5909: Ground truth-cat, Test result-horse
5911: Ground truth-bird, Test result-cat
5916: Ground truth-dog, Test result-cat
5918: Ground truth-cat, Test result-bird
5922: Ground truth-horse, Test result-dog
5923: Ground truth-horse, Test result-deer
5924: Ground truth-airplane, Test result-automobile
5925: Ground truth-deer, Test result-bird
5926: Ground truth-cat, Test result-horse
5928: Ground truth-frog, Test result-bird
5931: Ground truth-dog, Test result-bird
5935: Ground truth-cat, Test result-horse
5946: Ground truth-truck, Test result-airplane
5956: Ground truth-dog, Test result-airplane
5957: Ground truth-deer, Test result-horse
5960: Ground truth-deer, Test result-truck
5961: Ground truth-bird, Test result-frog
5973: Ground truth-ship, Test result-airplane
5980: Ground truth-dog, Test result-cat
5982: Ground truth-horse, Test result-bird
5992: Ground truth-cat, Test result-horse
5995: Ground truth-deer, Test result-cat
6000: Ground truth-bird, Test result-deer
6006: Ground truth-deer, Test result-bird
6009: Ground truth-cat, Test result-bird
6010: Ground truth-cat, Test result-dog
6011: Ground truth-automobile, Test result-bird
6012: Ground truth-horse, Test result-bird
6013: Ground truth-deer, Test result-bird
6015: Ground truth-dog, Test result-deer
6016: Ground truth-airplane, Test result-ship
6017: Ground truth-deer, Test result-frog
6022: Ground truth-cat, Test result-dog
6024: Ground truth-dog, Test result-cat
6025: Ground truth-bird, Test result-cat
6029: Ground truth-ship, Test result-airplane
6039: Ground truth-deer, Test result-dog
6041: Ground truth-bird, Test result-dog
6042: Ground truth-horse, Test result-ship
6051: Ground truth-bird, Test result-deer
6055: Ground truth-cat, Test result-dog
6061: Ground truth-cat, Test result-airplane
6063: Ground truth-cat, Test result-deer
6064: Ground truth-frog, Test result-deer
6066: Ground truth-dog, Test result-bird
6067: Ground truth-bird, Test result-frog
6069: Ground truth-dog, Test result-bird
6071: Ground truth-ship, Test result-truck
6074: Ground truth-bird, Test result-horse
6076: Ground truth-cat, Test result-frog
6078: Ground truth-airplane, Test result-bird
6084: Ground truth-bird, Test result-dog
6086: Ground truth-bird, Test result-frog
6094: Ground truth-bird, Test result-frog
6103: Ground truth-cat, Test result-horse
6112: Ground truth-cat, Test result-bird
6114: Ground truth-bird, Test result-horse
6122: Ground truth-bird, Test result-dog
6125: Ground truth-ship, Test result-automobile
6128: Ground truth-dog, Test result-bird
6131: Ground truth-automobile, Test result-ship
6132: Ground truth-cat, Test result-frog
6135: Ground truth-cat, Test result-bird
6136: Ground truth-cat, Test result-bird
6139: Ground truth-cat, Test result-airplane
6143: Ground truth-dog, Test result-truck
6145: Ground truth-horse, Test result-dog
6146: Ground truth-bird, Test result-cat
6152: Ground truth-horse, Test result-deer
6158: Ground truth-airplane, Test result-horse
6162: Ground truth-deer, Test result-bird
6163: Ground truth-airplane, Test result-horse
6165: Ground truth-horse, Test result-cat
6166: Ground truth-dog, Test result-cat
6167: Ground truth-automobile, Test result-ship
6169: Ground truth-cat, Test result-dog
6175: Ground truth-cat, Test result-dog
6176: Ground truth-cat, Test result-frog
6178: Ground truth-bird, Test result-horse
6179: Ground truth-dog, Test result-horse
6186: Ground truth-dog, Test result-cat
6195: Ground truth-automobile, Test result-ship
6201: Ground truth-cat, Test result-ship
6203: Ground truth-cat, Test result-bird
6205: Ground truth-deer, Test result-horse
6211: Ground truth-deer, Test result-cat
6214: Ground truth-cat, Test result-frog
6219: Ground truth-truck, Test result-ship
6221: Ground truth-bird, Test result-dog
6229: Ground truth-deer, Test result-horse
6236: Ground truth-frog, Test result-cat
6238: Ground truth-cat, Test result-dog
6243: Ground truth-deer, Test result-airplane
6246: Ground truth-frog, Test result-dog
6254: Ground truth-dog, Test result-deer
6258: Ground truth-dog, Test result-bird
6261: Ground truth-bird, Test result-automobile
6262: Ground truth-airplane, Test result-bird
6281: Ground truth-ship, Test result-dog
6286: Ground truth-ship, Test result-airplane
6294: Ground truth-cat, Test result-horse
6299: Ground truth-cat, Test result-dog
6306: Ground truth-frog, Test result-dog
6312: Ground truth-cat, Test result-ship
6316: Ground truth-frog, Test result-dog
6318: Ground truth-truck, Test result-airplane
6321: Ground truth-airplane, Test result-deer
6323: Ground truth-deer, Test result-horse
6327: Ground truth-horse, Test result-deer
6330: Ground truth-automobile, Test result-ship
6335: Ground truth-airplane, Test result-bird
6339: Ground truth-horse, Test result-deer
6345: Ground truth-dog, Test result-bird
6346: Ground truth-cat, Test result-deer
6348: Ground truth-airplane, Test result-ship
6354: Ground truth-bird, Test result-cat
6355: Ground truth-horse, Test result-truck
6368: Ground truth-deer, Test result-cat
6371: Ground truth-frog, Test result-cat
6381: Ground truth-cat, Test result-bird
6382: Ground truth-truck, Test result-automobile
6383: Ground truth-deer, Test result-dog
6384: Ground truth-cat, Test result-dog
6385: Ground truth-horse, Test result-frog
6387: Ground truth-dog, Test result-ship
6388: Ground truth-bird, Test result-deer
6394: Ground truth-cat, Test result-bird
6395: Ground truth-airplane, Test result-truck
6399: Ground truth-frog, Test result-dog
6402: Ground truth-deer, Test result-bird
6406: Ground truth-automobile, Test result-truck
6407: Ground truth-cat, Test result-horse
6413: Ground truth-ship, Test result-truck
6420: Ground truth-truck, Test result-ship
6423: Ground truth-deer, Test result-dog
6424: Ground truth-dog, Test result-deer
6430: Ground truth-ship, Test result-deer
6435: Ground truth-airplane, Test result-ship
6437: Ground truth-airplane, Test result-ship
6438: Ground truth-airplane, Test result-deer
6440: Ground truth-cat, Test result-deer
6442: Ground truth-dog, Test result-cat
6445: Ground truth-cat, Test result-dog
6447: Ground truth-deer, Test result-bird
6448: Ground truth-deer, Test result-horse
6449: Ground truth-horse, Test result-dog
6462: Ground truth-deer, Test result-cat
6467: Ground truth-ship, Test result-dog
6478: Ground truth-deer, Test result-horse
6482: Ground truth-airplane, Test result-bird
6487: Ground truth-ship, Test result-airplane
6491: Ground truth-ship, Test result-airplane
6492: Ground truth-airplane, Test result-dog
6497: Ground truth-horse, Test result-dog
6498: Ground truth-deer, Test result-bird
6501: Ground truth-horse, Test result-deer
6508: Ground truth-deer, Test result-dog
6511: Ground truth-deer, Test result-dog
6515: Ground truth-cat, Test result-bird
6517: Ground truth-bird, Test result-cat
6523: Ground truth-truck, Test result-automobile
6524: Ground truth-frog, Test result-deer
6529: Ground truth-dog, Test result-horse
6534: Ground truth-bird, Test result-automobile
6538: Ground truth-dog, Test result-cat
6544: Ground truth-frog, Test result-cat
6546: Ground truth-truck, Test result-ship
6550: Ground truth-airplane, Test result-ship
6559: Ground truth-frog, Test result-cat
6565: Ground truth-dog, Test result-cat
6570: Ground truth-ship, Test result-truck
6574: Ground truth-horse, Test result-dog
6582: Ground truth-automobile, Test result-truck
6589: Ground truth-airplane, Test result-ship
6591: Ground truth-dog, Test result-horse
6599: Ground truth-frog, Test result-bird
6600: Ground truth-bird, Test result-frog
6607: Ground truth-deer, Test result-cat
6613: Ground truth-horse, Test result-dog
6626: Ground truth-deer, Test result-bird
6628: Ground truth-dog, Test result-frog
6633: Ground truth-horse, Test result-dog
6636: Ground truth-frog, Test result-cat
6641: Ground truth-dog, Test result-cat
6642: Ground truth-airplane, Test result-ship
6647: Ground truth-dog, Test result-deer
6654: Ground truth-airplane, Test result-bird
6657: Ground truth-frog, Test result-cat
6670: Ground truth-dog, Test result-bird
6671: Ground truth-cat, Test result-automobile
6674: Ground truth-deer, Test result-bird
6679: Ground truth-horse, Test result-dog
6680: Ground truth-bird, Test result-horse
6682: Ground truth-truck, Test result-bird
6688: Ground truth-cat, Test result-deer
6689: Ground truth-automobile, Test result-bird
6691: Ground truth-dog, Test result-bird
6695: Ground truth-cat, Test result-horse
6704: Ground truth-bird, Test result-frog
6705: Ground truth-automobile, Test result-truck
6706: Ground truth-cat, Test result-deer
6716: Ground truth-bird, Test result-frog
6723: Ground truth-cat, Test result-bird
6724: Ground truth-dog, Test result-horse
6730: Ground truth-airplane, Test result-frog
6733: Ground truth-cat, Test result-deer
6738: Ground truth-ship, Test result-horse
6742: Ground truth-truck, Test result-airplane
6747: Ground truth-bird, Test result-dog
6749: Ground truth-airplane, Test result-bird
6751: Ground truth-deer, Test result-cat
6754: Ground truth-deer, Test result-frog
6760: Ground truth-automobile, Test result-truck
6762: Ground truth-dog, Test result-horse
6763: Ground truth-horse, Test result-bird
6764: Ground truth-bird, Test result-cat
6772: Ground truth-dog, Test result-cat
6773: Ground truth-airplane, Test result-truck
6775: Ground truth-cat, Test result-horse
6779: Ground truth-bird, Test result-frog
6780: Ground truth-ship, Test result-automobile
6782: Ground truth-cat, Test result-frog
6784: Ground truth-cat, Test result-frog
6787: Ground truth-cat, Test result-dog
6793: Ground truth-cat, Test result-horse
6801: Ground truth-frog, Test result-bird
6803: Ground truth-deer, Test result-horse
6805: Ground truth-truck, Test result-deer
6809: Ground truth-airplane, Test result-ship
6815: Ground truth-truck, Test result-automobile
6818: Ground truth-automobile, Test result-ship
6822: Ground truth-airplane, Test result-cat
6823: Ground truth-deer, Test result-bird
6829: Ground truth-cat, Test result-frog
6837: Ground truth-deer, Test result-horse
6840: Ground truth-ship, Test result-frog
6842: Ground truth-automobile, Test result-truck
6846: Ground truth-bird, Test result-truck
6850: Ground truth-deer, Test result-bird
6854: Ground truth-deer, Test result-horse
6857: Ground truth-frog, Test result-cat
6860: Ground truth-cat, Test result-automobile
6862: Ground truth-ship, Test result-airplane
6863: Ground truth-dog, Test result-cat
6870: Ground truth-dog, Test result-truck
6872: Ground truth-truck, Test result-dog
6873: Ground truth-airplane, Test result-frog
6874: Ground truth-cat, Test result-deer
6877: Ground truth-horse, Test result-deer
6882: Ground truth-bird, Test result-deer
6884: Ground truth-horse, Test result-deer
6888: Ground truth-deer, Test result-cat
6898: Ground truth-truck, Test result-ship
6900: Ground truth-bird, Test result-dog
6902: Ground truth-bird, Test result-horse
6905: Ground truth-dog, Test result-bird
6906: Ground truth-bird, Test result-deer
6913: Ground truth-cat, Test result-truck
6914: Ground truth-cat, Test result-frog
6915: Ground truth-ship, Test result-bird
6921: Ground truth-dog, Test result-bird
6923: Ground truth-bird, Test result-frog
6925: Ground truth-dog, Test result-cat
6931: Ground truth-bird, Test result-airplane
6932: Ground truth-dog, Test result-deer
6934: Ground truth-airplane, Test result-deer
6943: Ground truth-cat, Test result-bird
6953: Ground truth-ship, Test result-airplane
6959: Ground truth-horse, Test result-cat
6966: Ground truth-frog, Test result-cat
6970: Ground truth-bird, Test result-cat
6974: Ground truth-cat, Test result-dog
6976: Ground truth-ship, Test result-automobile
6977: Ground truth-cat, Test result-frog
6980: Ground truth-dog, Test result-deer
6983: Ground truth-automobile, Test result-truck
6984: Ground truth-truck, Test result-automobile
6986: Ground truth-airplane, Test result-ship
6993: Ground truth-deer, Test result-dog
6994: Ground truth-dog, Test result-cat
6995: Ground truth-cat, Test result-deer
6998: Ground truth-ship, Test result-dog
7001: Ground truth-bird, Test result-ship
7003: Ground truth-cat, Test result-deer
7004: Ground truth-horse, Test result-cat
7005: Ground truth-cat, Test result-airplane
7006: Ground truth-automobile, Test result-ship
7010: Ground truth-frog, Test result-cat
7016: Ground truth-cat, Test result-airplane
7018: Ground truth-automobile, Test result-airplane
7022: Ground truth-automobile, Test result-truck
7031: Ground truth-ship, Test result-deer
7036: Ground truth-automobile, Test result-truck
7037: Ground truth-cat, Test result-horse
7038: Ground truth-horse, Test result-dog
7041: Ground truth-horse, Test result-airplane
7042: Ground truth-deer, Test result-airplane
7045: Ground truth-deer, Test result-bird
7055: Ground truth-bird, Test result-airplane
7056: Ground truth-ship, Test result-airplane
7060: Ground truth-deer, Test result-frog
7063: Ground truth-deer, Test result-frog
7064: Ground truth-automobile, Test result-frog
7069: Ground truth-bird, Test result-airplane
7075: Ground truth-cat, Test result-dog
7081: Ground truth-dog, Test result-horse
7082: Ground truth-deer, Test result-dog
7084: Ground truth-frog, Test result-cat
7085: Ground truth-deer, Test result-cat
7088: Ground truth-horse, Test result-dog
7091: Ground truth-bird, Test result-dog
7098: Ground truth-horse, Test result-cat
7100: Ground truth-cat, Test result-dog
7101: Ground truth-truck, Test result-cat
7105: Ground truth-bird, Test result-dog
7108: Ground truth-bird, Test result-deer
7113: Ground truth-bird, Test result-airplane
7120: Ground truth-dog, Test result-horse
7125: Ground truth-dog, Test result-bird
7127: Ground truth-airplane, Test result-ship
7129: Ground truth-horse, Test result-dog
7140: Ground truth-airplane, Test result-ship
7141: Ground truth-deer, Test result-automobile
7144: Ground truth-deer, Test result-bird
7146: Ground truth-cat, Test result-dog
7150: Ground truth-dog, Test result-cat
7154: Ground truth-horse, Test result-deer
7162: Ground truth-dog, Test result-horse
7163: Ground truth-dog, Test result-horse
7169: Ground truth-dog, Test result-cat
7174: Ground truth-automobile, Test result-frog
7175: Ground truth-cat, Test result-frog
7178: Ground truth-bird, Test result-airplane
7182: Ground truth-frog, Test result-deer
7184: Ground truth-frog, Test result-bird
7187: Ground truth-bird, Test result-horse
7198: Ground truth-deer, Test result-cat
7201: Ground truth-deer, Test result-bird
7204: Ground truth-dog, Test result-horse
7211: Ground truth-cat, Test result-bird
7214: Ground truth-frog, Test result-bird
7215: Ground truth-cat, Test result-dog
7218: Ground truth-ship, Test result-deer
7219: Ground truth-truck, Test result-airplane
7221: Ground truth-truck, Test result-deer
7224: Ground truth-horse, Test result-deer
7225: Ground truth-cat, Test result-dog
7230: Ground truth-bird, Test result-dog
7239: Ground truth-deer, Test result-horse
7242: Ground truth-dog, Test result-deer
7243: Ground truth-horse, Test result-dog
7247: Ground truth-airplane, Test result-bird
7256: Ground truth-cat, Test result-frog
7267: Ground truth-bird, Test result-dog
7268: Ground truth-dog, Test result-deer
7272: Ground truth-horse, Test result-deer
7275: Ground truth-automobile, Test result-truck
7276: Ground truth-cat, Test result-automobile
7278: Ground truth-deer, Test result-frog
7281: Ground truth-automobile, Test result-truck
7284: Ground truth-cat, Test result-horse
7288: Ground truth-dog, Test result-cat
7295: Ground truth-dog, Test result-horse
7311: Ground truth-cat, Test result-dog
7312: Ground truth-automobile, Test result-truck
7319: Ground truth-deer, Test result-frog
7350: Ground truth-cat, Test result-frog
7352: Ground truth-bird, Test result-automobile
7361: Ground truth-bird, Test result-horse
7363: Ground truth-truck, Test result-automobile
7368: Ground truth-cat, Test result-dog
7371: Ground truth-cat, Test result-ship
7376: Ground truth-bird, Test result-horse
7378: Ground truth-cat, Test result-dog
7379: Ground truth-cat, Test result-dog
7383: Ground truth-truck, Test result-airplane
7385: Ground truth-cat, Test result-dog
7387: Ground truth-dog, Test result-cat
7394: Ground truth-dog, Test result-deer
7396: Ground truth-bird, Test result-dog
7399: Ground truth-dog, Test result-cat
7407: Ground truth-horse, Test result-bird
7409: Ground truth-deer, Test result-dog
7412: Ground truth-dog, Test result-deer
7415: Ground truth-ship, Test result-airplane
7418: Ground truth-cat, Test result-frog
7421: Ground truth-cat, Test result-bird
7430: Ground truth-dog, Test result-cat
7432: Ground truth-truck, Test result-ship
7438: Ground truth-cat, Test result-horse
7440: Ground truth-dog, Test result-cat
7443: Ground truth-horse, Test result-frog
7444: Ground truth-horse, Test result-frog
7447: Ground truth-dog, Test result-horse
7450: Ground truth-airplane, Test result-frog
7452: Ground truth-truck, Test result-automobile
7454: Ground truth-airplane, Test result-horse
7456: Ground truth-automobile, Test result-truck
7459: Ground truth-bird, Test result-dog
7472: Ground truth-frog, Test result-dog
7473: Ground truth-automobile, Test result-airplane
7479: Ground truth-horse, Test result-dog
7490: Ground truth-cat, Test result-dog
7492: Ground truth-truck, Test result-horse
7497: Ground truth-cat, Test result-bird
7500: Ground truth-truck, Test result-automobile
7505: Ground truth-frog, Test result-cat
7510: Ground truth-cat, Test result-horse
7518: Ground truth-bird, Test result-dog
7519: Ground truth-cat, Test result-deer
7520: Ground truth-bird, Test result-ship
7525: Ground truth-cat, Test result-deer
7537: Ground truth-ship, Test result-automobile
7543: Ground truth-ship, Test result-automobile
7546: Ground truth-dog, Test result-horse
7550: Ground truth-cat, Test result-dog
7553: Ground truth-deer, Test result-horse
7555: Ground truth-horse, Test result-dog
7557: Ground truth-bird, Test result-airplane
7558: Ground truth-dog, Test result-bird
7559: Ground truth-bird, Test result-airplane
7560: Ground truth-ship, Test result-automobile
7569: Ground truth-horse, Test result-dog
7570: Ground truth-cat, Test result-frog
7574: Ground truth-automobile, Test result-truck
7580: Ground truth-cat, Test result-dog
7583: Ground truth-dog, Test result-cat
7589: Ground truth-bird, Test result-cat
7591: Ground truth-bird, Test result-deer
7599: Ground truth-cat, Test result-dog
7601: Ground truth-ship, Test result-truck
7603: Ground truth-bird, Test result-frog
7606: Ground truth-bird, Test result-frog
7609: Ground truth-dog, Test result-horse
7610: Ground truth-airplane, Test result-dog
7612: Ground truth-horse, Test result-deer
7620: Ground truth-dog, Test result-cat
7621: Ground truth-dog, Test result-truck
7629: Ground truth-deer, Test result-cat
7633: Ground truth-airplane, Test result-horse
7642: Ground truth-horse, Test result-frog
7645: Ground truth-cat, Test result-dog
7655: Ground truth-deer, Test result-horse
7658: Ground truth-bird, Test result-dog
7661: Ground truth-horse, Test result-deer
7667: Ground truth-bird, Test result-deer
7670: Ground truth-horse, Test result-deer
7675: Ground truth-automobile, Test result-truck
7685: Ground truth-airplane, Test result-bird
7686: Ground truth-truck, Test result-automobile
7687: Ground truth-truck, Test result-airplane
7688: Ground truth-frog, Test result-dog
7712: Ground truth-frog, Test result-deer
7718: Ground truth-cat, Test result-deer
7723: Ground truth-horse, Test result-bird
7724: Ground truth-cat, Test result-frog
7735: Ground truth-automobile, Test result-truck
7736: Ground truth-deer, Test result-cat
7738: Ground truth-airplane, Test result-ship
7745: Ground truth-deer, Test result-cat
7747: Ground truth-bird, Test result-airplane
7748: Ground truth-cat, Test result-frog
7751: Ground truth-cat, Test result-bird
7762: Ground truth-bird, Test result-cat
7767: Ground truth-deer, Test result-frog
7770: Ground truth-deer, Test result-horse
7779: Ground truth-airplane, Test result-cat
7781: Ground truth-cat, Test result-ship
7784: Ground truth-cat, Test result-dog
7785: Ground truth-horse, Test result-cat
7786: Ground truth-deer, Test result-frog
7793: Ground truth-truck, Test result-automobile
7795: Ground truth-dog, Test result-frog
7796: Ground truth-dog, Test result-deer
7798: Ground truth-cat, Test result-frog
7803: Ground truth-bird, Test result-airplane
7804: Ground truth-airplane, Test result-ship
7816: Ground truth-airplane, Test result-ship
7817: Ground truth-airplane, Test result-deer
7821: Ground truth-dog, Test result-cat
7822: Ground truth-bird, Test result-airplane
7823: Ground truth-bird, Test result-deer
7827: Ground truth-truck, Test result-automobile
7828: Ground truth-cat, Test result-dog
7830: Ground truth-bird, Test result-airplane
7831: Ground truth-bird, Test result-automobile
7832: Ground truth-bird, Test result-deer
7835: Ground truth-dog, Test result-deer
7840: Ground truth-cat, Test result-deer
7842: Ground truth-frog, Test result-cat
7843: Ground truth-dog, Test result-deer
7844: Ground truth-airplane, Test result-bird
7847: Ground truth-frog, Test result-cat
7850: Ground truth-bird, Test result-airplane
7853: Ground truth-dog, Test result-deer
7862: Ground truth-airplane, Test result-bird
7863: Ground truth-automobile, Test result-horse
7868: Ground truth-deer, Test result-airplane
7876: Ground truth-bird, Test result-cat
7882: Ground truth-cat, Test result-deer
7885: Ground truth-truck, Test result-automobile
7893: Ground truth-automobile, Test result-truck
7894: Ground truth-automobile, Test result-ship
7907: Ground truth-bird, Test result-deer
7910: Ground truth-automobile, Test result-ship
7911: Ground truth-cat, Test result-dog
7913: Ground truth-airplane, Test result-bird
7916: Ground truth-cat, Test result-dog
7917: Ground truth-deer, Test result-airplane
7918: Ground truth-frog, Test result-cat
7919: Ground truth-deer, Test result-bird
7924: Ground truth-truck, Test result-horse
7925: Ground truth-cat, Test result-dog
7931: Ground truth-bird, Test result-airplane
7932: Ground truth-truck, Test result-frog
7936: Ground truth-horse, Test result-bird
7941: Ground truth-bird, Test result-frog
7942: Ground truth-dog, Test result-bird
7948: Ground truth-bird, Test result-frog
7955: Ground truth-truck, Test result-automobile
7957: Ground truth-deer, Test result-cat
7959: Ground truth-dog, Test result-cat
7960: Ground truth-dog, Test result-bird
7963: Ground truth-cat, Test result-dog
7968: Ground truth-truck, Test result-dog
7973: Ground truth-dog, Test result-frog
7980: Ground truth-cat, Test result-dog
7984: Ground truth-frog, Test result-ship
7985: Ground truth-ship, Test result-airplane
7986: Ground truth-dog, Test result-cat
7990: Ground truth-horse, Test result-dog
7994: Ground truth-bird, Test result-airplane
8004: Ground truth-deer, Test result-cat
8007: Ground truth-truck, Test result-cat
8008: Ground truth-airplane, Test result-bird
8010: Ground truth-dog, Test result-frog
8011: Ground truth-bird, Test result-dog
8013: Ground truth-cat, Test result-frog
8016: Ground truth-ship, Test result-airplane
8021: Ground truth-frog, Test result-cat
8026: Ground truth-dog, Test result-frog
8034: Ground truth-cat, Test result-dog
8042: Ground truth-ship, Test result-deer
8047: Ground truth-ship, Test result-cat
8048: Ground truth-airplane, Test result-bird
8051: Ground truth-horse, Test result-cat
8052: Ground truth-truck, Test result-automobile
8063: Ground truth-bird, Test result-frog
8067: Ground truth-truck, Test result-airplane
8070: Ground truth-deer, Test result-bird
8080: Ground truth-dog, Test result-cat
8083: Ground truth-dog, Test result-cat
8087: Ground truth-deer, Test result-airplane
8088: Ground truth-bird, Test result-horse
8094: Ground truth-horse, Test result-deer
8096: Ground truth-bird, Test result-airplane
8099: Ground truth-automobile, Test result-truck
8103: Ground truth-cat, Test result-horse
8111: Ground truth-dog, Test result-frog
8113: Ground truth-cat, Test result-frog
8116: Ground truth-dog, Test result-cat
8120: Ground truth-frog, Test result-dog
8121: Ground truth-ship, Test result-truck
8123: Ground truth-deer, Test result-cat
8124: Ground truth-automobile, Test result-truck
8127: Ground truth-deer, Test result-bird
8129: Ground truth-horse, Test result-cat
8132: Ground truth-cat, Test result-dog
8136: Ground truth-horse, Test result-cat
8137: Ground truth-cat, Test result-bird
8139: Ground truth-automobile, Test result-truck
8140: Ground truth-automobile, Test result-truck
8154: Ground truth-deer, Test result-cat
8162: Ground truth-dog, Test result-horse
8167: Ground truth-bird, Test result-dog
8170: Ground truth-cat, Test result-frog
8172: Ground truth-frog, Test result-deer
8174: Ground truth-dog, Test result-cat
8177: Ground truth-frog, Test result-deer
8178: Ground truth-ship, Test result-truck
8183: Ground truth-ship, Test result-bird
8184: Ground truth-cat, Test result-dog
8190: Ground truth-ship, Test result-airplane
8191: Ground truth-deer, Test result-dog
8194: Ground truth-cat, Test result-dog
8197: Ground truth-cat, Test result-airplane
8198: Ground truth-airplane, Test result-ship
8199: Ground truth-deer, Test result-bird
8203: Ground truth-dog, Test result-deer
8205: Ground truth-cat, Test result-frog
8210: Ground truth-bird, Test result-deer
8213: Ground truth-dog, Test result-frog
8221: Ground truth-frog, Test result-truck
8223: Ground truth-automobile, Test result-ship
8226: Ground truth-truck, Test result-airplane
8227: Ground truth-ship, Test result-airplane
8230: Ground truth-ship, Test result-bird
8234: Ground truth-deer, Test result-frog
8237: Ground truth-dog, Test result-ship
8242: Ground truth-cat, Test result-airplane
8246: Ground truth-cat, Test result-dog
8262: Ground truth-automobile, Test result-airplane
8266: Ground truth-airplane, Test result-ship
8269: Ground truth-dog, Test result-bird
8270: Ground truth-ship, Test result-airplane
8273: Ground truth-truck, Test result-automobile
8277: Ground truth-truck, Test result-airplane
8278: Ground truth-deer, Test result-horse
8282: Ground truth-cat, Test result-dog
8287: Ground truth-horse, Test result-bird
8290: Ground truth-dog, Test result-horse
8292: Ground truth-frog, Test result-horse
8296: Ground truth-cat, Test result-airplane
8297: Ground truth-dog, Test result-cat
8301: Ground truth-dog, Test result-cat
8302: Ground truth-dog, Test result-bird
8304: Ground truth-ship, Test result-airplane
8305: Ground truth-automobile, Test result-truck
8306: Ground truth-deer, Test result-cat
8323: Ground truth-deer, Test result-frog
8326: Ground truth-ship, Test result-deer
8327: Ground truth-cat, Test result-dog
8332: Ground truth-cat, Test result-bird
8336: Ground truth-horse, Test result-cat
8339: Ground truth-cat, Test result-frog
8342: Ground truth-frog, Test result-bird
8346: Ground truth-truck, Test result-horse
8352: Ground truth-airplane, Test result-bird
8353: Ground truth-dog, Test result-frog
8355: Ground truth-deer, Test result-horse
8358: Ground truth-airplane, Test result-ship
8371: Ground truth-deer, Test result-frog
8373: Ground truth-automobile, Test result-cat
8387: Ground truth-cat, Test result-dog
8388: Ground truth-airplane, Test result-ship
8395: Ground truth-horse, Test result-truck
8398: Ground truth-airplane, Test result-bird
8406: Ground truth-airplane, Test result-cat
8409: Ground truth-frog, Test result-bird
8411: Ground truth-dog, Test result-cat
8417: Ground truth-frog, Test result-bird
8420: Ground truth-horse, Test result-bird
8421: Ground truth-cat, Test result-frog
8425: Ground truth-dog, Test result-bird
8429: Ground truth-dog, Test result-bird
8436: Ground truth-cat, Test result-truck
8438: Ground truth-horse, Test result-deer
8441: Ground truth-dog, Test result-cat
8444: Ground truth-bird, Test result-deer
8452: Ground truth-dog, Test result-airplane
8457: Ground truth-deer, Test result-horse
8458: Ground truth-bird, Test result-cat
8464: Ground truth-automobile, Test result-airplane
8466: Ground truth-truck, Test result-automobile
8470: Ground truth-dog, Test result-automobile
8472: Ground truth-airplane, Test result-ship
8477: Ground truth-airplane, Test result-deer
8485: Ground truth-cat, Test result-bird
8488: Ground truth-deer, Test result-bird
8492: Ground truth-cat, Test result-dog
8493: Ground truth-airplane, Test result-truck
8504: Ground truth-automobile, Test result-truck
8509: Ground truth-automobile, Test result-truck
8515: Ground truth-horse, Test result-bird
8517: Ground truth-ship, Test result-truck
8519: Ground truth-truck, Test result-airplane
8521: Ground truth-ship, Test result-automobile
8522: Ground truth-truck, Test result-ship
8526: Ground truth-cat, Test result-dog
8530: Ground truth-airplane, Test result-automobile
8533: Ground truth-cat, Test result-bird
8537: Ground truth-automobile, Test result-truck
8542: Ground truth-ship, Test result-automobile
8543: Ground truth-bird, Test result-frog
8547: Ground truth-ship, Test result-airplane
8550: Ground truth-automobile, Test result-truck
8557: Ground truth-deer, Test result-horse
8563: Ground truth-bird, Test result-deer
8567: Ground truth-deer, Test result-airplane
8574: Ground truth-frog, Test result-airplane
8577: Ground truth-bird, Test result-cat
8578: Ground truth-cat, Test result-frog
8579: Ground truth-bird, Test result-cat
8587: Ground truth-frog, Test result-deer
8596: Ground truth-automobile, Test result-truck
8598: Ground truth-dog, Test result-horse
8603: Ground truth-ship, Test result-airplane
8607: Ground truth-automobile, Test result-deer
8611: Ground truth-bird, Test result-cat
8614: Ground truth-frog, Test result-cat
8617: Ground truth-cat, Test result-frog
8618: Ground truth-cat, Test result-deer
8619: Ground truth-dog, Test result-cat
8625: Ground truth-truck, Test result-horse
8627: Ground truth-automobile, Test result-cat
8632: Ground truth-bird, Test result-deer
8633: Ground truth-cat, Test result-ship
8634: Ground truth-cat, Test result-deer
8635: Ground truth-frog, Test result-dog
