25: Ground truth-dog, Test result-deer
5920: Ground truth-deer, Test result-bird
5922: Ground truth-horse, Test result-bird
5924: Ground truth-airplane, Test result-automobile
5925: Ground truth-deer, Test result-bird
5926: Ground truth-cat, Test result-horse
5927: Ground truth-deer, Test result-airplane
5931: Ground truth-dog, Test result-bird
5933: Ground truth-deer, Test result-frog
5935: Ground truth-cat, Test result-horse
5940: Ground truth-truck, Test result-airplane
5941: Ground truth-horse, Test result-bird
5956: Ground truth-dog, Test result-bird
5958: Ground truth-deer, Test result-cat
5960: Ground truth-deer, Test result-ship
5961: Ground truth-bird, Test result-frog
5970: Ground truth-dog, Test result-bird
5973: Ground truth-ship, Test result-airplane
5993: Ground truth-deer, Test result-horse
5995: Ground truth-deer, Test result-horse
6000: Ground truth-bird, Test result-deer
6001: Ground truth-ship, Test result-airplane
6009: Ground truth-cat, Test result-bird
6010: Ground truth-cat, Test result-dog
6011: Ground truth-automobile, Test result-frog
6012: Ground truth-horse, Test result-bird
6013: Ground truth-deer, Test result-bird
6015: Ground truth-dog, Test result-cat
6024: Ground truth-dog, Test result-cat
6031: Ground truth-ship, Test result-automobile
6032: Ground truth-dog, Test result-horse
6039: Ground truth-deer, Test result-bird
6041: Ground truth-bird, Test result-horse
6042: Ground truth-horse, Test result-automobile
6051: Ground truth-bird, Test result-deer
6052: Ground truth-deer, Test result-dog
6063: Ground truth-cat, Test result-deer
6064: Ground truth-frog, Test result-cat
6066: Ground truth-dog, Test result-bird
6069: Ground truth-dog, Test result-cat
6071: Ground truth-ship, Test result-truck
6076: Ground truth-cat, Test result-frog
6077: Ground truth-horse, Test result-deer
6078: Ground truth-airplane, Test result-bird
6082: Ground truth-airplane, Test result-bird
6084: Ground truth-bird, Test result-truck
6086: Ground truth-bird, Test result-dog
6094: Ground truth-bird, Test result-frog
6102: Ground truth-truck, Test result-airplane
6103: Ground truth-cat, Test result-horse
6112: Ground truth-cat, Test result-bird
6119: Ground truth-airplane, Test result-bird
6122: Ground truth-bird, Test result-dog
6123: Ground truth-dog, Test result-cat
6125: Ground truth-ship, Test result-cat
6127: Ground truth-cat, Test result-dog
6131: Ground truth-automobile, Test result-ship
6132: Ground truth-cat, Test result-frog
6135: Ground truth-cat, Test result-bird
6139: Ground truth-cat, Test result-airplane
6142: Ground truth-ship, Test result-airplane
6143: Ground truth-dog, Test result-cat
6144: Ground truth-truck, Test result-automobile
6146: Ground truth-bird, Test result-dog
6152: Ground truth-horse, Test result-deer
6158: Ground truth-airplane, Test result-deer
6162: Ground truth-deer, Test result-frog
6166: Ground truth-dog, Test result-cat
6171: Ground truth-bird, Test result-frog
6175: Ground truth-cat, Test result-horse
6176: Ground truth-cat, Test result-frog
6178: Ground truth-bird, Test result-dog
6179: Ground truth-dog, Test result-horse
6192: Ground truth-airplane, Test result-bird
6195: Ground truth-automobile, Test result-airplane
6201: Ground truth-cat, Test result-ship
6205: Ground truth-deer, Test result-horse
6214: Ground truth-cat, Test result-frog
6219: Ground truth-truck, Test result-frog
6221: Ground truth-bird, Test result-dog
6226: Ground truth-cat, Test result-frog
6229: Ground truth-deer, Test result-horse
6236: Ground truth-frog, Test result-cat
6238: Ground truth-cat, Test result-horse
6243: Ground truth-deer, Test result-bird
6246: Ground truth-frog, Test result-dog
6252: Ground truth-automobile, Test result-airplane
6254: Ground truth-dog, Test result-deer
6258: Ground truth-dog, Test result-bird
6259: Ground truth-airplane, Test result-ship
6262: Ground truth-airplane, Test result-bird
6265: Ground truth-frog, Test result-bird
6273: Ground truth-bird, Test result-dog
6281: Ground truth-ship, Test result-dog
6287: Ground truth-ship, Test result-truck
6299: Ground truth-cat, Test result-dog
6306: Ground truth-frog, Test result-deer
6308: Ground truth-deer, Test result-horse
6318: Ground truth-truck, Test result-airplane
6323: Ground truth-deer, Test result-horse
6327: Ground truth-horse, Test result-truck
6330: Ground truth-automobile, Test result-ship
6333: Ground truth-dog, Test result-cat
6345: Ground truth-dog, Test result-bird
6346: Ground truth-cat, Test result-dog
6350: Ground truth-airplane, Test result-bird
6354: Ground truth-bird, Test result-airplane
6355: Ground truth-horse, Test result-truck
6371: Ground truth-frog, Test result-dog
6372: Ground truth-automobile, Test result-cat
6379: Ground truth-dog, Test result-horse
6381: Ground truth-cat, Test result-bird
6382: Ground truth-truck, Test result-automobile
6383: Ground truth-deer, Test result-dog
6384: Ground truth-cat, Test result-bird
6385: Ground truth-horse, Test result-frog
6388: Ground truth-bird, Test result-deer
6390: Ground truth-dog, Test result-bird
6394: Ground truth-cat, Test result-bird
6397: Ground truth-deer, Test result-frog
6399: Ground truth-frog, Test result-deer
6402: Ground truth-deer, Test result-bird
6406: Ground truth-automobile, Test result-truck
6413: Ground truth-ship, Test result-truck
6420: Ground truth-truck, Test result-automobile
6423: Ground truth-deer, Test result-dog
6424: Ground truth-dog, Test result-deer
6429: Ground truth-dog, Test result-cat
6430: Ground truth-ship, Test result-automobile
6437: Ground truth-airplane, Test result-ship
6438: Ground truth-airplane, Test result-deer
6439: Ground truth-deer, Test result-bird
6440: Ground truth-cat, Test result-deer
6441: Ground truth-cat, Test result-bird
6442: Ground truth-dog, Test result-cat
6447: Ground truth-deer, Test result-dog
6453: Ground truth-deer, Test result-bird
6461: Ground truth-cat, Test result-airplane
6467: Ground truth-ship, Test result-dog
6468: Ground truth-cat, Test result-frog
6470: Ground truth-truck, Test result-automobile
6471: Ground truth-automobile, Test result-ship
6475: Ground truth-ship, Test result-airplane
6482: Ground truth-airplane, Test result-frog
6492: Ground truth-airplane, Test result-dog
6493: Ground truth-automobile, Test result-truck
6497: Ground truth-horse, Test result-cat
6498: Ground truth-deer, Test result-bird
6501: Ground truth-horse, Test result-deer
6508: Ground truth-deer, Test result-cat
6511: Ground truth-deer, Test result-dog
6514: Ground truth-dog, Test result-horse
6518: Ground truth-horse, Test result-cat
6520: Ground truth-bird, Test result-frog
6523: Ground truth-truck, Test result-automobile
6534: Ground truth-bird, Test result-cat
6536: Ground truth-dog, Test result-horse
6543: Ground truth-truck, Test result-horse
6544: Ground truth-frog, Test result-cat
6546: Ground truth-truck, Test result-airplane
6550: Ground truth-airplane, Test result-ship
6560: Ground truth-bird, Test result-deer
6565: Ground truth-dog, Test result-cat
6568: Ground truth-deer, Test result-bird
6574: Ground truth-horse, Test result-dog
6581: Ground truth-automobile, Test result-bird
6582: Ground truth-automobile, Test result-truck
6589: Ground truth-airplane, Test result-ship
6591: Ground truth-dog, Test result-horse
6595: Ground truth-ship, Test result-airplane
6599: Ground truth-frog, Test result-truck
6600: Ground truth-bird, Test result-frog
6607: Ground truth-deer, Test result-cat
6636: Ground truth-frog, Test result-cat
6641: Ground truth-dog, Test result-cat
6642: Ground truth-airplane, Test result-truck
6654: Ground truth-airplane, Test result-bird
6657: Ground truth-frog, Test result-horse
6665: Ground truth-deer, Test result-horse
6670: Ground truth-dog, Test result-bird
6674: Ground truth-deer, Test result-bird
6679: Ground truth-horse, Test result-dog
6680: Ground truth-bird, Test result-deer
6681: Ground truth-cat, Test result-dog
6682: Ground truth-truck, Test result-ship
6689: Ground truth-automobile, Test result-bird
6695: Ground truth-cat, Test result-horse
6698: Ground truth-bird, Test result-frog
6699: Ground truth-cat, Test result-dog
6704: Ground truth-bird, Test result-frog
6705: Ground truth-automobile, Test result-truck
6706: Ground truth-cat, Test result-deer
6707: Ground truth-frog, Test result-cat
6711: Ground truth-cat, Test result-dog
6724: Ground truth-dog, Test result-horse
6727: Ground truth-cat, Test result-deer
6730: Ground truth-airplane, Test result-cat
6733: Ground truth-cat, Test result-horse
6738: Ground truth-ship, Test result-truck
6742: Ground truth-truck, Test result-airplane
6747: Ground truth-bird, Test result-dog
6749: Ground truth-airplane, Test result-bird
6751: Ground truth-deer, Test result-cat
6754: Ground truth-deer, Test result-frog
6760: Ground truth-automobile, Test result-truck
6762: Ground truth-dog, Test result-horse
6763: Ground truth-horse, Test result-dog
6764: Ground truth-bird, Test result-cat
6773: Ground truth-airplane, Test result-truck
6775: Ground truth-cat, Test result-dog
6778: Ground truth-bird, Test result-deer
6779: Ground truth-bird, Test result-frog
6782: Ground truth-cat, Test result-frog
6784: Ground truth-cat, Test result-frog
6791: Ground truth-horse, Test result-cat
6793: Ground truth-cat, Test result-dog
6796: Ground truth-truck, Test result-automobile
6801: Ground truth-frog, Test result-bird
6815: Ground truth-truck, Test result-automobile
6823: Ground truth-deer, Test result-bird
6834: Ground truth-cat, Test result-frog
6840: Ground truth-ship, Test result-automobile
6846: Ground truth-bird, Test result-automobile
6854: Ground truth-deer, Test result-horse
6860: Ground truth-cat, Test result-bird
6863: Ground truth-dog, Test result-cat
6866: Ground truth-cat, Test result-dog
6867: Ground truth-deer, Test result-frog
6869: Ground truth-truck, Test result-airplane
6870: Ground truth-dog, Test result-cat
6873: Ground truth-airplane, Test result-frog
6874: Ground truth-cat, Test result-deer
6877: Ground truth-horse, Test result-deer
6882: Ground truth-bird, Test result-airplane
6884: Ground truth-horse, Test result-deer
6888: Ground truth-deer, Test result-cat
6889: Ground truth-deer, Test result-bird
6898: Ground truth-truck, Test result-automobile
6900: Ground truth-bird, Test result-deer
6902: Ground truth-bird, Test result-truck
6905: Ground truth-dog, Test result-horse
6910: Ground truth-deer, Test result-bird
6913: Ground truth-cat, Test result-truck
6921: Ground truth-dog, Test result-bird
6923: Ground truth-bird, Test result-frog
6925: Ground truth-dog, Test result-cat
6931: Ground truth-bird, Test result-airplane
6932: Ground truth-dog, Test result-cat
6934: Ground truth-airplane, Test result-deer
6937: Ground truth-truck, Test result-cat
6943: Ground truth-cat, Test result-bird
6949: Ground truth-frog, Test result-dog
6953: Ground truth-ship, Test result-airplane
6954: Ground truth-airplane, Test result-truck
6955: Ground truth-horse, Test result-airplane
6959: Ground truth-horse, Test result-cat
6960: Ground truth-dog, Test result-horse
6963: Ground truth-horse, Test result-dog
6966: Ground truth-frog, Test result-cat
6969: Ground truth-ship, Test result-airplane
6970: Ground truth-bird, Test result-cat
6971: Ground truth-airplane, Test result-bird
6974: Ground truth-cat, Test result-dog
6976: Ground truth-ship, Test result-automobile
6977: Ground truth-cat, Test result-bird
6980: Ground truth-dog, Test result-deer
6983: Ground truth-automobile, Test result-truck
6986: Ground truth-airplane, Test result-ship
6989: Ground truth-deer, Test result-bird
6993: Ground truth-deer, Test result-bird
6994: Ground truth-dog, Test result-cat
6995: Ground truth-cat, Test result-deer
6998: Ground truth-ship, Test result-horse
7001: Ground truth-bird, Test result-ship
7003: Ground truth-cat, Test result-frog
7004: Ground truth-horse, Test result-cat
7005: Ground truth-cat, Test result-airplane
7006: Ground truth-automobile, Test result-ship
7010: Ground truth-frog, Test result-cat
7018: Ground truth-automobile, Test result-truck
7020: Ground truth-bird, Test result-deer
7022: Ground truth-automobile, Test result-truck
7031: Ground truth-ship, Test result-dog
7036: Ground truth-automobile, Test result-truck
7037: Ground truth-cat, Test result-horse
7038: Ground truth-horse, Test result-dog
7041: Ground truth-horse, Test result-bird
7042: Ground truth-deer, Test result-airplane
7055: Ground truth-bird, Test result-airplane
7060: Ground truth-deer, Test result-frog
7062: Ground truth-deer, Test result-horse
7063: Ground truth-deer, Test result-bird
7069: Ground truth-bird, Test result-airplane
7081: Ground truth-dog, Test result-cat
7082: Ground truth-deer, Test result-cat
7083: Ground truth-bird, Test result-ship
7084: Ground truth-frog, Test result-cat
7091: Ground truth-bird, Test result-dog
7092: Ground truth-frog, Test result-bird
7098: Ground truth-horse, Test result-cat
7100: Ground truth-cat, Test result-dog
7101: Ground truth-truck, Test result-bird
7105: Ground truth-bird, Test result-automobile
7108: Ground truth-bird, Test result-deer
7113: Ground truth-bird, Test result-airplane
7118: Ground truth-frog, Test result-cat
7120: Ground truth-dog, Test result-horse
7125: Ground truth-dog, Test result-bird
7128: Ground truth-dog, Test result-ship
7129: Ground truth-horse, Test result-cat
7134: Ground truth-automobile, Test result-truck
7139: Ground truth-airplane, Test result-ship
7141: Ground truth-deer, Test result-automobile
7144: Ground truth-deer, Test result-bird
7148: Ground truth-dog, Test result-horse
7150: Ground truth-dog, Test result-cat
7151: Ground truth-cat, Test result-dog
7153: Ground truth-frog, Test result-cat
7162: Ground truth-dog, Test result-deer
7163: Ground truth-dog, Test result-cat
7169: Ground truth-dog, Test result-cat
7171: Ground truth-truck, Test result-horse
7173: Ground truth-deer, Test result-frog
7174: Ground truth-automobile, Test result-frog
7175: Ground truth-cat, Test result-frog
7178: Ground truth-bird, Test result-airplane
7182: Ground truth-frog, Test result-deer
7184: Ground truth-frog, Test result-bird
7185: Ground truth-dog, Test result-frog
7187: Ground truth-bird, Test result-horse
7201: Ground truth-deer, Test result-frog
7204: Ground truth-dog, Test result-horse
7211: Ground truth-cat, Test result-bird
7213: Ground truth-cat, Test result-bird
7214: Ground truth-frog, Test result-bird
7215: Ground truth-cat, Test result-dog
7218: Ground truth-ship, Test result-deer
7219: Ground truth-truck, Test result-airplane
7224: Ground truth-horse, Test result-deer
7225: Ground truth-cat, Test result-horse
7236: Ground truth-bird, Test result-frog
7243: Ground truth-horse, Test result-cat
7247: Ground truth-airplane, Test result-bird
7249: Ground truth-deer, Test result-cat
7254: Ground truth-deer, Test result-bird
7258: Ground truth-airplane, Test result-deer
7259: Ground truth-dog, Test result-cat
7267: Ground truth-bird, Test result-dog
7268: Ground truth-dog, Test result-cat
7275: Ground truth-automobile, Test result-truck
7281: Ground truth-automobile, Test result-truck
7284: Ground truth-cat, Test result-deer
7285: Ground truth-airplane, Test result-truck
7286: Ground truth-automobile, Test result-truck
7293: Ground truth-dog, Test result-cat
7311: Ground truth-cat, Test result-dog
7312: Ground truth-automobile, Test result-truck
7315: Ground truth-cat, Test result-bird
7319: Ground truth-deer, Test result-bird
7345: Ground truth-deer, Test result-frog
7352: Ground truth-bird, Test result-automobile
7361: Ground truth-bird, Test result-horse
7368: Ground truth-cat, Test result-dog
7371: Ground truth-cat, Test result-ship
7376: Ground truth-bird, Test result-horse
7379: Ground truth-cat, Test result-dog
7385: Ground truth-cat, Test result-dog
7387: Ground truth-dog, Test result-cat
7394: Ground truth-dog, Test result-horse
7398: Ground truth-deer, Test result-frog
7399: Ground truth-dog, Test result-cat
7401: Ground truth-cat, Test result-bird
7402: Ground truth-cat, Test result-dog
7403: Ground truth-airplane, Test result-ship
7405: Ground truth-ship, Test result-airplane
7407: Ground truth-horse, Test result-ship
7409: Ground truth-deer, Test result-dog
7412: Ground truth-dog, Test result-cat
7415: Ground truth-ship, Test result-airplane
7417: Ground truth-automobile, Test result-truck
7418: Ground truth-cat, Test result-frog
7420: Ground truth-airplane, Test result-bird
7421: Ground truth-cat, Test result-bird
7423: Ground truth-deer, Test result-horse
7428: Ground truth-bird, Test result-dog
7437: Ground truth-airplane, Test result-ship
7438: Ground truth-cat, Test result-horse
7440: Ground truth-dog, Test result-deer
7443: Ground truth-horse, Test result-dog
7444: Ground truth-horse, Test result-cat
7445: Ground truth-truck, Test result-automobile
7447: Ground truth-dog, Test result-horse
7450: Ground truth-airplane, Test result-cat
7452: Ground truth-truck, Test result-automobile
7454: Ground truth-airplane, Test result-horse
7456: Ground truth-automobile, Test result-truck
7459: Ground truth-bird, Test result-dog
7463: Ground truth-ship, Test result-automobile
7472: Ground truth-frog, Test result-bird
7473: Ground truth-automobile, Test result-airplane
7477: Ground truth-dog, Test result-cat
7479: Ground truth-horse, Test result-dog
7490: Ground truth-cat, Test result-dog
7497: Ground truth-cat, Test result-bird
7500: Ground truth-truck, Test result-automobile
7505: Ground truth-frog, Test result-cat
7510: Ground truth-cat, Test result-dog
7519: Ground truth-cat, Test result-deer
7520: Ground truth-bird, Test result-ship
7525: Ground truth-cat, Test result-deer
7532: Ground truth-deer, Test result-dog
7537: Ground truth-ship, Test result-frog
7538: Ground truth-deer, Test result-bird
7542: Ground truth-airplane, Test result-bird
7543: Ground truth-ship, Test result-airplane
7546: Ground truth-dog, Test result-bird
7550: Ground truth-cat, Test result-dog
7553: Ground truth-deer, Test result-horse
7555: Ground truth-horse, Test result-dog
7557: Ground truth-bird, Test result-cat
7558: Ground truth-dog, Test result-horse
7560: Ground truth-ship, Test result-automobile
7562: Ground truth-bird, Test result-horse
7569: Ground truth-horse, Test result-dog
7574: Ground truth-automobile, Test result-airplane
7580: Ground truth-cat, Test result-dog
7583: Ground truth-dog, Test result-cat
7587: Ground truth-bird, Test result-truck
7589: Ground truth-bird, Test result-dog
7591: Ground truth-bird, Test result-deer
7599: Ground truth-cat, Test result-dog
7601: Ground truth-ship, Test result-truck
7603: Ground truth-bird, Test result-frog
7606: Ground truth-bird, Test result-frog
7610: Ground truth-airplane, Test result-dog
7612: Ground truth-horse, Test result-bird
7620: Ground truth-dog, Test result-cat
7621: Ground truth-dog, Test result-truck
7629: Ground truth-deer, Test result-cat
7633: Ground truth-airplane, Test result-horse
7639: Ground truth-automobile, Test result-ship
7642: Ground truth-horse, Test result-frog
7645: Ground truth-cat, Test result-dog
7649: Ground truth-airplane, Test result-truck
7656: Ground truth-ship, Test result-airplane
7658: Ground truth-bird, Test result-horse
7661: Ground truth-horse, Test result-deer
7667: Ground truth-bird, Test result-deer
7670: Ground truth-horse, Test result-deer
7674: Ground truth-dog, Test result-frog
7675: Ground truth-automobile, Test result-truck
7685: Ground truth-airplane, Test result-bird
7686: Ground truth-truck, Test result-automobile
7690: Ground truth-airplane, Test result-ship
7706: Ground truth-horse, Test result-dog
7712: Ground truth-frog, Test result-deer
7723: Ground truth-horse, Test result-deer
7724: Ground truth-cat, Test result-deer
7736: Ground truth-deer, Test result-airplane
7745: Ground truth-deer, Test result-cat
7747: Ground truth-bird, Test result-airplane
7751: Ground truth-cat, Test result-bird
7752: Ground truth-horse, Test result-deer
7762: Ground truth-bird, Test result-dog
7764: Ground truth-deer, Test result-bird
7767: Ground truth-deer, Test result-frog
7770: Ground truth-deer, Test result-horse
7779: Ground truth-airplane, Test result-frog
7781: Ground truth-cat, Test result-ship
7784: Ground truth-cat, Test result-dog
7785: Ground truth-horse, Test result-deer
7786: Ground truth-deer, Test result-frog
7795: Ground truth-dog, Test result-frog
7796: Ground truth-dog, Test result-cat
7798: Ground truth-cat, Test result-frog
7814: Ground truth-cat, Test result-airplane
7816: Ground truth-airplane, Test result-automobile
7817: Ground truth-airplane, Test result-deer
7822: Ground truth-bird, Test result-airplane
7823: Ground truth-bird, Test result-deer
7828: Ground truth-cat, Test result-dog
7830: Ground truth-bird, Test result-airplane
7831: Ground truth-bird, Test result-horse
7840: Ground truth-cat, Test result-deer
7842: Ground truth-frog, Test result-cat
7848: Ground truth-horse, Test result-deer
7850: Ground truth-bird, Test result-airplane
7853: Ground truth-dog, Test result-deer
7856: Ground truth-bird, Test result-dog
7862: Ground truth-airplane, Test result-bird
7876: Ground truth-bird, Test result-cat
7878: Ground truth-airplane, Test result-automobile
7882: Ground truth-cat, Test result-deer
7885: Ground truth-truck, Test result-automobile
7893: Ground truth-automobile, Test result-truck
7894: Ground truth-automobile, Test result-ship
7897: Ground truth-deer, Test result-bird
7898: Ground truth-bird, Test result-airplane
7907: Ground truth-bird, Test result-deer
7910: Ground truth-automobile, Test result-ship
7911: Ground truth-cat, Test result-dog
7913: Ground truth-airplane, Test result-horse
7917: Ground truth-deer, Test result-bird
7919: Ground truth-deer, Test result-bird
7922: Ground truth-deer, Test result-horse
7924: Ground truth-truck, Test result-horse
7928: Ground truth-horse, Test result-frog
7931: Ground truth-bird, Test result-airplane
7932: Ground truth-truck, Test result-deer
7933: Ground truth-truck, Test result-airplane
7934: Ground truth-cat, Test result-deer
7941: Ground truth-bird, Test result-frog
7942: Ground truth-dog, Test result-bird
7948: Ground truth-bird, Test result-frog
7953: Ground truth-cat, Test result-bird
7957: Ground truth-deer, Test result-cat
7959: Ground truth-dog, Test result-cat
7960: Ground truth-dog, Test result-airplane
7962: Ground truth-cat, Test result-deer
7963: Ground truth-cat, Test result-dog
7968: Ground truth-truck, Test result-automobile
7973: Ground truth-dog, Test result-cat
7980: Ground truth-cat, Test result-horse
7984: Ground truth-frog, Test result-ship
7990: Ground truth-horse, Test result-cat
7994: Ground truth-bird, Test result-airplane
7999: Ground truth-bird, Test result-cat
8004: Ground truth-deer, Test result-bird
8007: Ground truth-truck, Test result-horse
8010: Ground truth-dog, Test result-cat
8016: Ground truth-ship, Test result-airplane
8020: Ground truth-cat, Test result-frog
8021: Ground truth-frog, Test result-cat
8023: Ground truth-bird, Test result-dog
8028: Ground truth-deer, Test result-horse
8032: Ground truth-airplane, Test result-ship
8042: Ground truth-ship, Test result-deer
8047: Ground truth-ship, Test result-cat
8048: Ground truth-airplane, Test result-bird
8051: Ground truth-horse, Test result-bird
8059: Ground truth-deer, Test result-airplane
8063: Ground truth-bird, Test result-frog
8067: Ground truth-truck, Test result-airplane
8070: Ground truth-deer, Test result-bird
8078: Ground truth-cat, Test result-dog
8079: Ground truth-horse, Test result-cat
8087: Ground truth-deer, Test result-ship
8088: Ground truth-bird, Test result-dog
8093: Ground truth-deer, Test result-airplane
8099: Ground truth-automobile, Test result-truck
8103: Ground truth-cat, Test result-deer
8111: Ground truth-dog, Test result-cat
8116: Ground truth-dog, Test result-cat
8120: Ground truth-frog, Test result-cat
8123: Ground truth-deer, Test result-dog
8129: Ground truth-horse, Test result-deer
8130: Ground truth-bird, Test result-deer
8137: Ground truth-cat, Test result-bird
8139: Ground truth-automobile, Test result-truck
8146: Ground truth-truck, Test result-ship
8155: Ground truth-ship, Test result-bird
8167: Ground truth-bird, Test result-dog
8173: Ground truth-dog, Test result-cat
8174: Ground truth-dog, Test result-cat
8175: Ground truth-cat, Test result-deer
8177: Ground truth-frog, Test result-cat
8178: Ground truth-ship, Test result-truck
8179: Ground truth-truck, Test result-automobile
8183: Ground truth-ship, Test result-cat
8184: Ground truth-cat, Test result-dog
8190: Ground truth-ship, Test result-automobile
8197: Ground truth-cat, Test result-airplane
8200: Ground truth-deer, Test result-truck
8203: Ground truth-dog, Test result-deer
8205: Ground truth-cat, Test result-frog
8210: Ground truth-bird, Test result-deer
8213: Ground truth-dog, Test result-frog
8223: Ground truth-automobile, Test result-ship
8226: Ground truth-truck, Test result-bird
8230: Ground truth-ship, Test result-bird
8233: Ground truth-bird, Test result-dog
8234: Ground truth-deer, Test result-frog
8237: Ground truth-dog, Test result-ship
8242: Ground truth-cat, Test result-airplane
8246: Ground truth-cat, Test result-dog
8269: Ground truth-dog, Test result-bird
8277: Ground truth-truck, Test result-airplane
8278: Ground truth-deer, Test result-horse
8282: Ground truth-cat, Test result-dog
8284: Ground truth-automobile, Test result-airplane
8287: Ground truth-horse, Test result-bird
8290: Ground truth-dog, Test result-horse
8292: Ground truth-frog, Test result-deer
8296: Ground truth-cat, Test result-airplane
8297: Ground truth-dog, Test result-cat
8299: Ground truth-cat, Test result-dog
8301: Ground truth-dog, Test result-cat
8302: Ground truth-dog, Test result-cat
8305: Ground truth-automobile, Test result-truck
8306: Ground truth-deer, Test result-cat
8309: Ground truth-bird, Test result-horse
8311: Ground truth-cat, Test result-dog
8325: Ground truth-cat, Test result-horse
8327: Ground truth-cat, Test result-dog
8332: Ground truth-cat, Test result-frog
8339: Ground truth-cat, Test result-frog
8341: Ground truth-dog, Test result-cat
8343: Ground truth-automobile, Test result-airplane
8347: Ground truth-frog, Test result-cat
8352: Ground truth-airplane, Test result-bird
8353: Ground truth-dog, Test result-frog
8358: Ground truth-airplane, Test result-frog
8363: Ground truth-cat, Test result-horse
8364: Ground truth-bird, Test result-dog
8371: Ground truth-deer, Test result-frog
8373: Ground truth-automobile, Test result-cat
8377: Ground truth-horse, Test result-cat
8382: Ground truth-deer, Test result-cat
8386: Ground truth-truck, Test result-automobile
8387: Ground truth-cat, Test result-truck
8398: Ground truth-airplane, Test result-bird
8402: Ground truth-cat, Test result-bird
8406: Ground truth-airplane, Test result-cat
8420: Ground truth-horse, Test result-bird
8421: Ground truth-cat, Test result-frog
8425: Ground truth-dog, Test result-bird
8426: Ground truth-frog, Test result-bird
8436: Ground truth-cat, Test result-truck
8444: Ground truth-bird, Test result-horse
8445: Ground truth-dog, Test result-cat
8452: Ground truth-dog, Test result-deer
8457: Ground truth-deer, Test result-horse
8458: Ground truth-bird, Test result-deer
8462: Ground truth-horse, Test result-deer
8463: Ground truth-bird, Test result-deer
8464: Ground truth-automobile, Test result-cat
8466: Ground truth-truck, Test result-automobile
8470: Ground truth-dog, Test result-automobile
8472: Ground truth-airplane, Test result-ship
8477: Ground truth-airplane, Test result-deer
8487: Ground truth-deer, Test result-horse
8488: Ground truth-deer, Test result-cat
8491: Ground truth-cat, Test result-dog
8492: Ground truth-cat, Test result-bird
8493: Ground truth-airplane, Test result-truck
8494: Ground truth-bird, Test result-cat
8504: Ground truth-automobile, Test result-truck
8508: Ground truth-ship, Test result-airplane
8515: Ground truth-horse, Test result-bird
8519: Ground truth-truck, Test result-cat
8522: Ground truth-truck, Test result-ship
8533: Ground truth-cat, Test result-deer
8534: Ground truth-frog, Test result-bird
8536: Ground truth-horse, Test result-dog
8537: Ground truth-automobile, Test result-truck
8542: Ground truth-ship, Test result-automobile
8547: Ground truth-ship, Test result-airplane
8549: Ground truth-cat, Test result-frog
8550: Ground truth-automobile, Test result-truck
8554: Ground truth-horse, Test result-cat
8564: Ground truth-airplane, Test result-automobile
8567: Ground truth-deer, Test result-airplane
8574: Ground truth-frog, Test result-airplane
8578: Ground truth-cat, Test result-frog
8579: Ground truth-bird, Test result-dog
8581: Ground truth-cat, Test result-dog
8587: Ground truth-frog, Test result-bird
8598: Ground truth-dog, Test result-horse
8600: Ground truth-deer, Test result-dog
8607: Ground truth-automobile, Test result-cat
8611: Ground truth-bird, Test result-deer
8614: Ground truth-frog, Test result-cat
8617: Ground truth-cat, Test result-frog
8618: Ground truth-cat, Test result-deer
8619: Ground truth-dog, Test result-deer
8621: Ground truth-cat, Test result-dog
8625: Ground truth-truck, Test result-horse
8627: Ground truth-automobile, Test result-frog
8633: Ground truth-cat, Test result-ship
8634: Ground truth-cat, Test result-bird
8640: Ground truth-horse, Test result-deer
8642: Ground truth-horse, Test result-deer
8643: Ground truth-cat, Test result-frog
8645: Ground truth-ship, Test result-cat
8647: Ground truth-bird, Test result-horse
8651: Ground truth-bird, Test result-dog
8652: Ground truth-deer, Test result-bird
8658: Ground truth-frog, Test result-cat
8660: Ground truth-deer, Test result-airplane
8663: Ground truth-cat, Test result-dog
8669: Ground truth-cat, Test result-ship
8672: Ground truth-deer, Test result-cat
8673: Ground truth-horse, Test result-cat
8679: Ground truth-automobile, Test result-truck
8682: Ground truth-bird, Test result-frog
8692: Ground truth-frog, Test result-deer
8700: Ground truth-deer, Test result-cat
8707: Ground truth-horse, Test result-deer
8709: Ground truth-horse, Test result-cat
8717: Ground truth-bird, Test result-cat
8721: Ground truth-bird, Test result-airplane
8723: Ground truth-horse, Test result-cat
8724: Ground truth-dog, Test result-horse
8728: Ground truth-truck, Test result-airplane
8729: Ground truth-frog, Test result-dog
8733: Ground truth-ship, Test result-automobile
8736: Ground truth-cat, Test result-bird
8742: Ground truth-automobile, Test result-airplane
8744: Ground truth-airplane, Test result-ship
8750: Ground truth-dog, Test result-cat
8752: Ground truth-automobile, Test result-cat
8753: Ground truth-dog, Test result-horse
8754: Ground truth-deer, Test result-horse
8757: Ground truth-bird, Test result-frog
8758: Ground truth-ship, Test result-airplane
8759: Ground truth-truck, Test result-horse
8774: Ground truth-frog, Test result-bird
8776: Ground truth-automobile, Test result-cat
8777: Ground truth-dog, Test result-cat
8779: Ground truth-cat, Test result-airplane
8784: Ground truth-frog, Test result-dog
8786: Ground truth-ship, Test result-airplane
8795: Ground truth-dog, Test result-cat
8804: Ground truth-cat, Test result-bird
8805: Ground truth-frog, Test result-bird
